Genes	COLO680N	ECGI10	KYSE140	KYSE150	KYSE180	KYSE270	KYSE410	KYSE450	KYSE510	KYSE520	KYSE70	OE21	TE10	TE11	TE15	TE1	TE4	TE5	TE6	TE8	TE9	TT
ASPH	56.0359	12.8526	7.29039	17.705	29.8277	27.8486	34.6898	7.02244	43.443	65.859	29.893	22.8597	15.7539	62.6776	28.7313	35.2022	33.4487	41.9008	110.975	14.4804	23.3791	9.2102
PTDSS1	14.7966	9.18959	36.8473	24.3277	52.0733	30.3839	20.6251	26.252	25.7619	17.6093	55.2911	35.5993	12.5127	19.1931	11.5614	14.2065	38.3119	22.7081	34.0441	15.3166	17.7029	46.6774
MATN2	26.2676	4.39073	4.21197	14.9852	1.38053	8.70273	1.60468	1.19554	11.4707	35.0804	39.2061	3.22719	0.909585	5.51104	10.5123	12.1328	13.0658	24.2217	15.278	13.9826	15.5506	49.2519
ZHX2	6.50811	9.2093	12.5993	2.53908	1.8501	2.19216	2.40201	3.94863	9.9391	3.54649	1.55678	4.28264	7.31572	5.24267	5.61317	2.90414	19.3022	7.74694	3.25574	3.97363	4.40731	18.3881
NFX1	7.13269	13.3662	11.6623	8.77349	7.60487	4.9129	5.0514	24.7033	5.71685	5.99139	11.0875	5.20362	6.04867	9.72674	11.2746	7.27765	11.4465	5.07966	7.71821	13.9387	6.62766	10.8174
ALDH1A1	0.429792	0.113321	32.844	0.249275	1.37905	0.205188	2.505	2.09202	1.07219	0.735491	50.4114	11.032	26.0532	9.21813	36.7329	0.230326	2.09922	33.2291	302.347	1.51068	38.8991	13.0336
NTRK2	0.0800941	0.102323	4.79153	0.0010208	0.358977	5.1939	0.0405327	4.89051	0.0088452	0.0058552	27.7907	0.826384	0.875293	1.15379	0.632551	0.17706	0.101891	0.0384779	9.36528	0.146132	0.15567	11.0286
XPA	8.59982	4.27806	8.9286	14.8505	8.19969	4.07394	5.57376	13.7006	4.93202	5.3561	9.79994	5.92306	7.14574	4.9066	7.61745	5.52079	9.09665	6.55668	7.31147	12.1747	11.1111	13.2476
FOXE1	9.00303	3.37622	21.8262	0.599806	16.8213	5.68837	4.69348	7.86251	1.49146	7.7155	0.861843	5.17453	9.19488	6.22389	17.1152	13.027	0.0742195	2.13585	10.715	8.5551	6.55071	35.9958
CDK5RAP2	11.9032	8.54898	12.5086	15.0637	14.8637	7.98086	13.866	12.1462	14.9559	18.4818	13.3388	11.1135	7.93924	12.1437	15.7697	15.5921	14.6805	15.1816	23.9547	26.3806	11.4713	17.0933
MEGF9	1.69636	4.06289	3.56002	2.59433	12.4618	2.98265	8.45372	4.10163	2.59105	14.5427	33.0958	7.38576	1.48949	18.3222	6.00566	1.64508	4.27218	2.76163	26.25	3.05361	7.62739	11.8019
OLFM1	2.14692	0.393494	0.009077	0.005182	0.610041	26.1085	0.0099397	0.0415832	0.0581055	0.0036027	29.4205	1.88667	0.0511883	1.02578	0.0226009	5.57879	0.0255416	2.98636	2.03557	16.7833	0.717815	0.127169
AKR1C1	0.661152	9.07867	5.17764	0.0174631	50.0499	0.1661	0.865269	2.55752	34.4999	66.2707	155.858	74.3165	0.436707	145.551	0.755921	0.0450598	17.4206	0.382903	309.749	1.23253	9.57336	134.261
AKR1C2	0.842869	35.9044	22.2605	0.04198	56.854	0.100193	28.3175	16.0787	211.507	59.9706	615.578	295.511	3.63647	479.551	4.19959	0.0623662	53.5016	1.88342	215.837	1.58079	70.3432	392.935
AKR1C3	2.97492	16.6402	21.4605	0.0496143	49.5648	1.26931	27.2652	0.658981	1.83967	188.487	79.5405	143.508	0.695327	155.068	8.17841	0.310955	20.2438	6.8375	306.611	5.97988	51.2905	278.588
AKR1C4	0.0047581	0.147142	0.0514987	0	0.116551	0	0.0140983	0.0050846	0.193553	0.351314	1.41816	0.292406	0.030252	0.655121	0	0.0045497	0.280767	0.0182264	1.13767	0	0.0928561	0.713983
HK1	20.0385	22.5426	22.413	30.0275	16.816	26.1544	11.8952	11.2892	23.8501	41.5555	55.6607	39.7816	9.32172	41.9311	19.7324	47.815	25.4917	30.3926	26.7496	21.2991	35.9594	95.5921
ADD3	5.59853	5.75185	18.7406	12.2795	10.0993	14.0227	11.1211	5.28915	11.0758	19.9197	4.46718	4.60677	6.67184	7.88531	10.7574	9.91405	10.0988	16.8189	20.5739	5.80211	11.9482	53.4197
FGFR2	6.7279	2.77637	38.3222	20.3973	21.0381	4.3969	5.60899	8.01823	6.60843	0.556453	13.3681	4.23358	8.15489	7.36401	8.58514	11.1904	1.66389	13.4621	24.2215	2.0928	12.8897	20.6613
TALDO1	75.2925	48.4208	57.1016	68.0948	79.2146	65.7607	85.6381	85.3546	143.579	113.193	250.303	107.752	78.9919	316.117	79.067	51.7288	137.74	84.178	150.987	78.8937	208.405	187.564
CYB5R2	3.7236	1.14902	16.1999	0.0371868	1.11237	2.29544	0.141231	0.0339568	0.0227441	5.74338	0.0651181	0.140798	2.33626	1.11605	8.04223	3.27881	3.17827	2.36807	0.0420027	1.76523	0.26198	12.5329
BDNF	0.98639	0.0224234	0.275438	2.35622	0.0290319	0.113857	1.49676	0.0469841	0.474098	4.08164	0.332761	0.130643	0.409594	0.030445	1.39602	3.99306	0.405721	2.53608	0.731934	2.88928	0.190919	2.65966
PLA2G16	37.7989	3.87615	20.8675	20.4187	6.30541	3.71498	27.1249	8.33613	10.5151	35.3916	3.13244	2.89372	73.8472	15.0754	21.2112	10.7567	3.59772	15.5596	6.19456	0.943698	3.93637	26.1397
BBS1	12.9228	4.7454	5.1726	3.68932	6.68402	2.34935	5.26719	9.86401	4.35858	7.70484	7.50823	2.71643	3.19569	4.3537	3.6379	2.54827	4.56831	8.59451	3.70891	4.84164	6.61765	18.0998
TSKU	29.9637	40.6865	13.5357	16.1643	9.78366	20.3227	16.6342	14.1442	31.1872	17.5457	37.9344	9.37029	3.60353	27.3926	97.538	18.6272	25.4426	9.35807	15.5186	6.2325	10.8345	22.4645
PAK1	37.4928	14.3098	40.6957	20.5841	9.41195	10.5644	3.75974	25.3587	8.06491	14.2206	16.6235	5.82307	4.78756	9.91804	32.7526	20.8832	17.1199	7.67309	26.5471	12.9049	4.25507	16.79
CD9	181.311	84.3523	151.853	150.681	57.6882	170.628	111.684	50.812	85.0588	90.6507	176.709	110.005	123.602	158.105	131.59	47.5242	60.089	162.956	63.2808	82.1476	185.523	744.503
GABARAPL1	89.0502	34.317	11.1507	44.2473	6.74485	16.0225	4.69575	47.3939	29.0953	36.8951	39.967	7.9393	6.92852	11.7217	8.76907	24.7002	13.1715	33.5095	12.2964	56.9021	18.0652	28.1691
EPS8	8.15507	5.70343	8.37047	14.586	0.77605	10.9837	26.7561	3.64442	20.607	16.4496	4.65606	2.02156	14.2551	11.8308	30.0231	24.1933	1.05845	13.346	25.2064	18.5402	4.47556	1.70179
GLI1	0.0183172	2.13691	8.61667	0.655513	0.129222	0.318312	0.154682	0.968921	0.0480725	1.39918	5.37465	1.50414	0.100157	0.638035	0.337173	0.0280242	0.0801936	0.159044	0.106533	0.573645	1.83571	2.34116
ATP2B1	8.59042	16.4492	14.9424	10.0774	25.8805	6.93422	17.5332	11.8586	17.7701	9.16349	21.4877	8.43309	9.81042	8.21617	11.157	12.5283	52.7218	1.50708	19.1445	6.93136	7.33289	9.74435
TXNRD1	105.566	115.379	39.5751	49.3146	139.914	27.9558	75.8256	45.771	137.269	454.027	261.767	69.9205	78.7841	225.875	60.8659	63.4209	91.5461	54.6185	150.822	61.293	82.6517	103.327
FZD10	2.27543	1.8581	0	0	0.0080343	1.3761	0.006074	0.797383	1.71621	0.0110079	0.12836	1.62252	1.01923	3.74928	0.0049326	0.0019602	0.0039021	2.01811	0.453718	0.747678	10.2014	22.1478
FARP1	4.42494	1.69472	10.428	0.0154285	1.20545	7.07804	4.37605	3.11995	1.56644	2.55424	1.06867	0.792427	3.4817	0.440875	5.56014	11.6713	4.08255	2.44399	4.98498	4.66549	0.604694	7.71844
ABHD4	33.7311	36.7287	18.5233	40.0377	15.837	4.29644	4.96826	15.7265	24.5633	18.531	57.8225	15.233	9.15069	56.0538	17.9763	9.32981	32.5492	40.7624	40.3249	34.9111	43.2957	54.1063
COCH	19.2471	15.9189	0.774866	0.0130107	18.9115	26.7233	1.52233	4.65145	0.0618924	9.64253	0.0253146	0.899561	5.92915	1.30852	0.235089	3.8078	22.8428	0.210789	3.22217	2.45113	4.14985	16.4258
GPX2	6.27364	78.5876	75.2258	0.387797	170.453	72.6017	59.8618	12.0337	244.074	55.4435	260.839	176.413	15.9978	347.512	16.8906	0.233191	32.4579	302.061	321.631	3.49723	241.397	199.248
CRIP1	16.4552	21.944	1.65667	0.649412	5.80574	65.9302	0.183451	0.137225	0.270813	14.7762	0.746641	0.913558	0.874773	0.320439	111.809	6.55172	0.707112	1.21219	0.229687	5.49107	1.07928	14.4761
SLC27A2	5.82122	1.27167	0.30771	0.0633041	7.33897	4.6562	11.3973	2.26296	9.28426	3.90326	1.50113	0.254014	1.87989	0.0568451	0.691478	5.64862	47.7161	5.13716	10.8892	0.786464	4.44918	15.4462
SMAD3	53.8348	29.378	7.20494	14.5799	9.74597	6.98087	14.1157	3.10024	8.80892	39.9512	4.09749	7.06979	24.9128	23.5197	29.6594	22.5103	12.7292	14.249	11.5675	22.9773	32.3362	28.9792
ABHD2	11.4089	6.62059	7.68157	7.58129	6.89649	5.58753	10.3433	7.22005	13.2339	12.2993	6.26541	4.82165	9.40329	25.2251	13.3232	10.6852	11.86	18.808	12.901	24.3754	14.858	32.2453
SLCO3A1	6.7055	2.99859	6.6897	9.93645	3.49564	6.02603	5.81363	7.94925	6.52449	8.73526	7.06849	5.67186	3.77515	12.8433	13.2517	4.42424	0.719231	4.76741	15.3909	3.4968	17.9664	22.5593
UNKL	4.33845	10.6836	3.32234	1.87942	4.07272	4.99763	2.3683	4.99366	7.07601	6.08727	4.53777	1.60587	3.04856	3.83652	3.62239	4.41352	3.58221	4.69773	4.36942	2.42893	4.41195	3.95738
CLUAP1	3.36921	2.33291	4.81208	3.94678	2.72496	2.11274	1.8504	6.3794	2.796	2.34271	4.21058	1.98184	3.0639	2.73782	2.59091	2.60316	1.44483	6.13078	3.00479	2.43025	2.99439	2.82429
ABCC1	20.9849	21.2899	28.6912	11.8233	31.926	30.8588	28.3224	49.0849	39.2319	36.3359	106.443	20.9569	20.8998	44.3029	29.2155	20.2402	22.4765	21.7075	42.3945	23.4456	35.2031	82.5122
CHP2	0.988567	0.0090358	0.0343919	0	0.0027675	0	0	0.0030183	0	0.0075835	0.0035372	0.0448909	0	0.150913	0.618461	0.0108032	0	0.0649172	0.07301	0.836007	16.7568	6.95236
SLC6A10P	0.0060381	0.695393	0.0183804	0.0058296	0.107971	0.0190393	0.102873	0.0080655	0	0.0202646	0.0434794	0.0159943	0.0095976	0.001551	0.0108966	0.0057737	0.0028734	0.0057824	0.0097549	0.025943	0.0121301	2.80957
CES1	14.1315	0.0781958	0.0389749	0.0235989	1.27788	0.0660633	0.368592	0.0363817	3.24411	175.763	955.797	31.2951	0.0932455	94.4354	0.138635	0.0275463	5.24925	0.0501598	92.3875	0.10002	13.9106	85.5392
MT2A	215.303	110.842	47.7193	375.641	18.6548	79.9299	92.6234	37.2984	81.2645	322.209	9.98873	138.496	308.181	190.238	249.935	304.129	40.7365	126.321	26.3827	62.1212	87.0329	3.34738
MT1G	0.224263	0.258281	0.0606827	0.600482	0.017579	0.251432	0.0797401	0.0575167	0.0941708	0.662343	0	0.218612	3.8898	0.414779	0.636757	0.428888	0.307358	0.0343628	0.159417	0.359731	0.24715	0.0236157
NDRG4	1.94785	5.42981	3.22588	0.691813	1.85633	3.6164	0.886897	0.926868	0.715624	4.72754	14.2414	1.54731	0.480099	3.99938	0.461054	1.08523	4.01635	0.437208	1.47819	8.64946	1.86383	13.9241
NQO1	91.3269	36.8124	18.6083	116.28	227.823	32.8137	90.7126	76.8826	350.81	533.913	253.768	354.009	73.6043	292.993	134.483	61.5367	125.122	126.444	206.821	71.5914	105.741	177.097
OSGIN1	2.34429	11.453	2.43629	1.50623	16.8472	1.68048	1.8595	4.53146	6.42197	5.58405	53.9542	14.1013	3.97294	34.6886	3.12992	4.83838	6.82386	6.97747	14.7506	0.764593	7.7806	10.2022
RPA1	34.283	29.9975	39.718	36.8143	64.7091	20.7876	36.2978	30.8421	55.9632	37.6619	31.4867	29.7116	15.0826	22.9284	52.4557	39.0761	29.4422	20.6836	39.9842	27.1165	39.7229	41.454
DVL2	22.8901	26.5242	20.4775	35.6562	20.1691	15.5996	9.75698	27.7203	20.9385	21.5406	30.5572	9.56707	14.6939	11.4417	17.9291	15.7223	8.78938	10.4621	24.1374	15.1886	21.2224	23.4073
SENP3	31.7596	36.7303	30.3033	47.4798	41.3647	27.4342	26.5687	82.7676	33.6013	29.6436	36.8786	25.424	32.2268	25.4605	45.7359	41.5284	35.0552	12.4229	37.1638	24.0367	34.9549	32.2094
TRIM16	22.3778	49.3551	8.1657	35.3396	41.4326	3.09889	24.5815	15.029	33.0474	45.2977	48.2454	35.3454	56.6177	60.1883	63.8103	19.4692	95.904	18.8711	61.6738	4.53875	47.2043	45.1852
PRPSAP2	10.5027	12.2317	11.2677	13.2493	12.0649	8.79929	10.4005	14.6572	12.3202	11.8719	17.0073	10.9508	19.3497	10.1085	10.5173	13.2876	44.5499	5.85989	14.0712	7.89911	12.8547	18.31
EPN2	8.01963	10.7277	4.98536	9.51836	3.66734	5.94478	4.16789	6.45662	5.44453	8.25138	5.91257	3.46657	3.57294	5.54756	5.74439	7.24899	12.7889	3.70333	6.855	6.32515	9.76855	8.67257
ALDH3A2	14.2215	20.5589	15.8077	32.5134	21.4647	7.36486	23.1558	13.2918	66.3744	42.6563	262.578	34.1042	24.2299	26.1564	27.6183	15.7692	42.5769	14.3928	86.5318	19.0376	31.0811	43.3074
ALDH3A1	1.13282	100.217	3.69312	0.104162	49.7709	0.0533637	7.95779	272.118	103.244	119.377	910.789	235.067	8.91843	281.696	110.578	0.9353	4.93327	40.3432	317	0.595341	182.74	627.703
UNC119	8.14445	8.17704	8.47302	6.36791	6.41828	7.7548	19.1651	3.97398	6.89636	8.76752	5.30796	4.04244	3.07677	2.34691	2.95303	7.34568	12.8704	12.4009	8.89456	7.94968	7.41392	10.4299
ABCC3	14.122	64.0421	2.475	9.62297	9.40254	4.18341	8.45737	1.44071	8.97686	25.9532	27.7338	9.92925	4.01211	24.2267	8.42596	6.19389	15.8157	7.65302	20.1644	3.55042	4.54976	11.227
AKAP1	13.9652	14.3109	15.2069	16.1216	22.5789	30.1583	14.9692	17.35	22.8408	8.62335	21.902	5.81439	13.4928	15.7207	11.2552	8.91385	20.9419	12.4738	12.3137	7.7309	21.8414	16.3825
BPTF	12.6704	8.16268	7.47962	6.67434	8.46025	6.99643	7.78333	8.46968	5.96665	10.36	5.49513	3.71712	4.8191	6.87173	6.63624	5.78555	8.61151	7.0425	14.1274	9.36802	11.6932	11.4191
SLC9A3R1	25.019	22.2128	47.834	56.6609	42.6664	39.3348	11.86	20.9281	41.294	45.1598	101.916	60.4172	33.7129	140.454	137.901	24.7291	19.042	56.0372	49.8649	38.2134	126.287	119.31
NT5C	19.5306	18.1351	19.5442	35.2904	11.6454	26.9277	14.145	60.829	12.6102	18.4397	15.7801	21.1608	43.8903	22.5444	28.5797	11.2013	10.1328	8.16713	29.7777	13.8274	24.9197	37.9616
PRPSAP1	10.2888	9.02879	7.81714	9.2439	5.84624	8.18377	7.4994	16.5104	6.31386	8.50831	7.30677	3.9543	10.5713	7.38877	14.9716	6.79427	6.27515	9.66394	10.8246	8.16457	8.35322	10.431
PGS1	28.6015	10.9249	8.63967	10.4364	11.9628	10.0499	5.59381	10.3131	9.72908	8.78425	6.6869	5.7077	8.92153	7.6644	15.5661	6.90667	4.95559	14.5008	10.7749	6.37221	10.3711	18.3752
GAA	36.051	65.7115	15.1415	32.043	4.68661	64.4927	2.69581	26.6801	15.6498	9.90946	19.4673	16.3741	9.64294	13.646	10.6945	13.3579	17.2062	28.5843	24.6499	19.2235	9.44896	37.7742
MAFG	7.17771	33.892	10.8053	7.85156	16.8921	9.16653	9.86358	25.373	19.5072	27.7422	39.7505	10.0976	10.9272	26.0294	19.2272	10.9094	12.2541	13.4718	29.2946	7.02924	17.4476	19.4717
NARF	4.59815	7.06899	4.34757	4.9601	4.2399	6.54344	5.48707	3.78321	5.20992	3.0424	2.75466	2.66214	7.1212	2.1077	9.11101	3.36572	7.59431	6.75808	4.87367	5.00721	6.43497	6.79546
CABYR	5.13193	2.20599	0.702864	0.756125	2.99225	3.84363	2.03511	1.68299	5.3923	6.01292	13.6919	2.7622	0.351138	12.1428	3.03503	0.881644	1.6927	1.52392	28.9371	1.12611	1.47753	4.43257
TCF4	0.0128802	0.189121	5.53476	0.104585	1.5916	1.27674	0.662739	1.80362	0.711169	1.76835	3.97175	0.646152	0.960666	1.92562	0.796265	0.149215	1.27491	0.0974132	13.0927	1.72738	0.710299	3.06086
FECH	2.78082	2.91776	2.88807	6.77748	7.6598	5.14923	5.38203	4.61007	15.8608	7.74259	14.6054	10.3253	2.85852	16.3899	5.90426	4.9825	10.4408	5.74683	21.1433	4.05808	5.12271	8.88109
PPAP2C	30.748	69.5471	76.8855	58.172	51.496	32.9263	48.7576	40.1607	60.1002	14.2696	110.44	18.3524	37.4734	56.7978	50.3889	24.2651	38.2957	48.0393	37.7862	24.1008	34.115	62.6238
GAMT	5.62529	4.29065	15.9541	2.37562	5.17059	11.6517	0.143294	15.173	9.11789	6.53375	19.4965	2.00865	2.68613	3.84806	6.01376	1.2874	14.3752	0.217361	13.057	9.10188	11.4275	16.8919
KEAP1	9.95526	16.3202	21.7851	15.5186	35.8783	39.5194	15.7068	15.3523	8.56323	36.6633	44.3539	20.6469	13.9075	32.8564	20.4331	11.4595	19.1856	29.014	25.0107	22.2171	30.6659	43.1815
CYP4F3	1.62556	0.639963	0.0234857	1.0838	2.2488	0.15813	0.653969	0.0132503	3.60723	14.0989	27.7472	2.27944	0.011037	24.2426	7.28732	0.0723244	0.977133	3.65572	36.7067	0.367005	7.38324	12.489
CYP4F12	0.663731	0.465285	0.007504	0.537878	0.0362304	0.0466383	0.0766943	0.0039514	1.59636	1.92106	3.04468	0.180225	0.014106	0.393237	2.32443	0.014143	0.0351926	1.40936	1.02451	0.988544	4.24481	0.849329
CYP4F2	0.274445	0.0596688	0	0.00343	0.0130537	0.0224048	0.0039475	0.0028474	0.0419573	0.0822713	0.470496	0.0169394	0.0643764	0.123202	0.137845	0	0.0101438	0.0306203	0.288415	0.0152644	0.168233	0.108726
CYP4F11	8.01434	12.9041	0.0226034	5.34659	25.8725	7.60478	0.376226	2.41557	11.3409	43.3924	89.7833	16.8348	2.41341	91.7246	16.8782	3.41715	1.37702	3.68204	75.7887	0.877346	18.5424	67.4891
GPI	72.5569	46.0349	90.0297	47.3988	145.027	66.3568	89.3881	61.0675	94.4457	111.939	78.8736	94.2076	95.2519	114.426	69.1572	63.7403	74.4764	29.8392	257.115	74.2161	55.9843	71.9229
FXYD3	74.5751	83.5198	41.2592	77.858	16.2099	15.3196	16.1472	59.1136	157.361	40.9709	51.7797	104.292	82.5454	81.6198	95.5457	13.6926	10.7403	113.496	138	12.8652	105.89	120.778
CA11	2.33854	1.69135	10.0456	7.23632	0.701136	3.43755	0.185798	1.24162	5.92924	6.34812	8.90134	0.676129	0.797367	0.322151	0.38608	1.02637	4.77438	2.59982	8.55724	7.85362	3.06566	14.8812
FTL	829.731	1825.48	245.827	298.827	2187.85	156.712	1113.14	282.695	7326.08	7993.97	5118.59	5474.19	761.78	2998.77	530.255	1089.59	695.8	528.182	1474.78	1503.92	974.147	907.043
ETFB	8.37319	5.41174	15.8534	16.9512	10.1815	9.75346	12.9801	14.9838	18.9595	17.6232	58.8918	28.0788	11.1459	33.053	12.3111	13.7881	15.7583	15.1546	21.486	17.0551	35.1878	20.7519
SOX12	3.39933	4.11003	5.24966	7.83543	5.38944	9.1474	0.622568	8.76979	4.76387	15.2413	19.4281	1.81315	4.4732	2.80288	3.39307	3.22149	9.67571	2.73265	12.2412	7.07042	1.82849	6.62814
BMP7	1.1403	3.87971	9.94905	4.20653	6.83969	9.9883	0.0116375	10.3472	8.3389	5.835	32.425	9.56176	1.42671	8.5918	11.0272	6.16542	3.82528	11.7251	13.5936	4.42251	19.4536	18.9956
CHODL	0.0239815	0.058121	0.0176975	0.0028065	0.322557	0.009166	0.0193795	0.107168	1.47333	0.023414	2.9787	0.00924	0.0942578	0.0313616	2.10621	0.983968	0.041499	0.0194864	4.32873	0.183179	0.0775848	2.81518
CLDN8	1.7991	0.062447	0	0.0502561	0.0127507	0.0638307	0.0771181	0.0069532	0.704403	0.008735	0.0081485	0.189592	0.13652	0.631796	1.23294	0.0031109	1.16423	0.361408	5.16137	0	9.82983	0.860752
CBR1	6.95149	17.098	21.9585	24.914	41.3086	25.4186	14.4594	27.7773	29.6729	25.4086	0.148487	32.1472	6.94416	66.7351	17.5582	29.8407	21.9827	13.0894	72.6376	18.0875	24.2787	28.931
RABL2B	8.79688	3.1888	4.76905	2.91628	2.64733	1.67455	2.33945	5.1899	4.96002	1.10667	4.71962	2.62302	5.44369	2.34181	4.01951	1.8476	2.73598	1.23994	2.45671	4.25481	6.55301	5.47949
PRKX	1.71167	4.04185	6.15244	5.48262	3.92368	4.15107	3.93107	3.88832	3.41646	1.54756	16.0078	4.61161	1.39441	3.98499	1.83858	1.8801	3.49637	3.41516	7.15144	3.00532	8.65965	54.7965
PIR	6.04226	16.2311	16.7989	20.6728	18.4301	11.054	15.4711	22.1813	32.7309	19.2253	43.9055	11.6777	9.18194	17.3458	6.39622	5.34232	5.87308	60.559	38.9212	3.88699	36.1913	78.6525
TSPAN7	0.0043716	3.52197	0.183349	0	3.73725	3.62077	0.482508	0.070074	5.87994	5.63397	67.4345	13.947	0.0555899	47.6745	0.136747	0.610308	2.18436	0.005582	24.7298	1.91586	10.2427	5.36015
CHST7	1.63421	1.78029	13.2261	7.54083	2.16569	5.09537	1.04509	5.3867	2.07117	0.927265	8.7642	1.70353	1.36047	1.76373	3.11186	2.63909	1.26443	1.53499	3.21475	3.3508	3.36741	4.01591
SPIN2B	1.36561	2.08244	1.79215	5.08631	3.8625	2.20726	0.789039	1.82415	1.60681	1.43607	11.0935	0.564313	0.306786	3.95696	1.17199	0.853133	1.16975	2.5807	1.4414	3.06846	0.0313536	1.25229
SPIN2A	0.0546019	0.205057	0.0289067	0.0886249	0.0534999	0.0865019	0.0633081	0.0076107	0.0747651	0.050992	0.139732	0.0226387	0	0.126844	0.0371301	0.0090802	0.135567	0.166722	0.0575302	0.222135	0	0.024999
DIAPH2	2.62236	1.52867	2.07771	3.82505	2.07233	1.47749	1.55553	1.75183	0.115208	0.0260844	4.1925	0.510116	1.15028	0.626303	3.22511	0.154829	1.23285	2.42587	5.19693	1.86206	1.891	1.27595
TRMT2B	9.09531	3.3816	8.51706	8.63994	6.50956	5.67493	4.47242	3.96709	5.37961	6.88491	6.17103	3.00633	3.86141	6.36355	8.25033	12.3569	5.20961	7.10513	4.37445	6.37736	6.94775	10.0738
GLA	11.5564	15.8985	17.7552	10.372	43.8623	26.0305	15.7019	8.18186	18.2	27.2358	26.9536	7.429	11.9318	50.2288	10.019	19.8265	13.2407	17.7181	24.7548	22.9265	13.517	10.76
CXorf57	0.35213	2.91236	5.82194	4.14212	3.30625	2.42275	10.4091	1.43851	5.2338	0.599276	1.92192	2.57649	0.266196	2.56548	4.48334	28.5675	0.35889	6.7267	3.49173	3.82805	3.75589	1.15877
GABRE	5.51125	7.9567	3.45651	2.3407	2.6412	12.8804	8.22869	0.695205	22.8472	20.6501	0.0946483	10.145	6.13945	24.0554	6.9747	3.73813	1.91534	38.1416	16.3328	10.7308	36.3614	26.4292
SLC6A8	13.5676	12.9379	18.9993	8.91859	17.3892	31.3665	14.8839	12.054	17.42	16.2875	43.0079	9.06965	6.51645	2.45919	9.70999	14.1836	8.19237	18.3737	12.2806	22.9595	6.62755	10.4958
G6PD	46.4488	97.9575	43.8392	37.5512	36.8022	24.3934	53.4065	23.468	246.837	258.095	99.7676	139.417	72.6589	294.639	106.105	56.5366	131.009	67.4231	84.0718	35.914	89.027	102.521
PRKY	0.0035569	0.849632	0.0132337	0.0045788	0.0069703	2.35157	0.0013174	0.0085523	0.0023337	0.0023875	0.0155905	0.812174	0.0248766	0.0091369	0.0096285	0.0042515	0.0220044	0.0045417	0.0129295	0.0407535	0.0091873	8.07401
